,Binary Race Variable,Coordinated Entry,Day Shelter,Emergency Shelter,Homelessness Prevention,Other,PH - Housing Only,PH - Housing with Services (no disability required for entry),PH - Permanent Supportive Housing (disability required for entry),PH - Rapid Re-Housing,Safe Haven,Services Only,Street Outreach,Transitional Housing,Year
0,Non-White,9.154350071484375,34.731628041746454,45.47336867321443,16.27970469035813,0.2625758821025505,0.0238705347365955,4.1176672420627245,22.00863302714105,25.83985385236463,0.23870534736595503,53.44612727523732,54.03095537628391,10.55077635357521,2020
1,White,6.124072081370343,20.28624275394874,26.946729908139844,6.392279617780723,0.17880502427358663,0.03251000441337939,2.41386782769342,11.333800288614391,9.956188851597439,0.22757003089365574,28.104898815366486,27.015813667518273,6.449172125504138,2020
2,"Black, African American, or African",26.9050764649852,117.4728690724706,141.18398273778956,43.79518482932198,0.7578894778869071,0.10826992541241529,12.613446310546381,74.00249401938585,87.53623469593778,0.8661594032993223,163.86653211169056,124.88935896322104,34.91705094550394,2020
3,"Non-Black, African American, or African",5.706650856800991,18.40772240359217,25.154865594441286,6.833850885353129,0.16699259682253886,0.025691168741929057,2.267245641475239,10.488419638892537,9.627765486037914,0.19268376556446792,26.86975110796505,28.47866055042836,5.864009265345307,2020
4,Native Hawaiian or Pacific Islander,15.157789557738143,49.51544588861127,56.58908101555573,21.2209053808334,0.0,0.0,8.58941408271828,32.84187737509931,23.747203640456423,0.0,65.17849509827401,55.57856171170652,13.136750950039724,2020
5,Non-Native Hawaiian or Pacific Islander,6.843879228886196,23.80108444840814,31.501973509432045,8.829336170956122,0.20129056555547634,0.03049857053870854,2.811968203668927,13.931747022082059,13.931747022082059,0.2317891360941849,34.356639711855166,33.746668301080994,7.456900496714237,2020
6,Multi-Racial,5.815641707866878,18.189347469285767,23.076961245046228,9.527753436292546,0.30934264403547224,0.0,2.598478209897967,14.16789309682463,15.03405250012395,0.06186852880709445,31.55294969161817,20.41661450634117,5.568167592638501,2020
7,Non-Multi-Racial,6.949312562748507,24.252463292381027,32.094348110895396,8.87153067070142,0.19445324143470594,0.03187758056306655,2.859418976507069,14.038886479974506,13.936878222172695,0.2390818542229991,34.69555868484163,34.57123612064567,7.590051932066144,2020
8,"American Indian, Alaska Native, or Indigenous",11.693151944540851,39.410252850119164,48.938006286411714,8.445054182168393,0.21653985082483057,0.0,4.547336867321442,15.374329408562971,22.08706478413272,0.43307970164966114,47.205687479813065,44.6072092699151,8.445054182168393,2020
9,"Non-American Indian, Alaska Native, or Indigenous",6.825617204498718,23.735930098527074,31.407062947727205,8.910197593980758,0.19984915238397144,0.030746023443687917,2.822484952130551,14.026335895010428,13.875680380136357,0.2275205734832906,34.36175580066562,33.725313115381276,7.477432901504901,2020
