,Binary Race Variable,Coordinated Entry,Day Shelter,Emergency Shelter,Homelessness Prevention,Other,PH - Housing with Services (no disability required for entry),PH - Permanent Supportive Housing (disability required for entry),PH - Rapid Re-Housing,Safe Haven,Services Only,Street Outreach,Transitional Housing,Year,PH - Housing Only
0,Non-White,0.22677007999765725,6.83890820203461,12.806541886183485,9.190155873589267,0.01193526736829775,0.143223208419573,0.5370870315733988,3.2821985262818814,0.01193526736829775,12.806541886183485,23.536347250283164,1.7544843031397692,2020,
1,White,0.16661377261856938,4.547336867321443,8.216903615481641,3.4541879689215604,0.012191251655017273,0.07314750993010363,0.2560162847553627,1.3694839359136068,0.024382503310034546,6.993714699428242,10.130930125319354,1.1744239094333304,2020,
2,"Black, African American, or African",0.7578894778869071,22.682549373901004,32.31857273560596,21.65398508248306,0.05413496270620764,0.10826992541241529,1.1909691795365682,9.690158324411168,0.0,31.398278369600433,34.05089154220461,5.792441009564219,2020,
3,"Non-Black, African American, or African",0.14772422026609208,4.088107226059461,8.022067439667348,3.917903233144181,0.009634188278223396,0.0899190905967517,0.27618006397573736,1.3905345081569103,0.022479772649187924,7.110030949328866,12.318915411754983,1.0565493145118325,2020,
4,Native Hawaiian or Pacific Islander,0.5052596519246048,12.126231646190513,19.199866773134982,12.126231646190513,0.0,0.0,1.0105193038492095,4.547336867321443,0.0,14.652529905813537,16.168308861587352,5.052596519246047,2020,
5,Non-Native Hawaiian or Pacific Islander,0.17994156617838036,5.087161565856584,9.3234130136832,4.867571857977882,0.012199428215483414,0.0914957116161256,0.3232848477103105,1.8390638034841247,0.021348999377095973,8.43285475395291,13.520016319809494,1.2992391049489835,2020,
6,Multi-Racial,0.0,2.351004094669589,3.5265061420043837,6.001247294288161,0.0,0.06186852880709445,0.3712111728425667,1.4848446913702669,0.0,6.681801111166202,3.2171634979689117,0.4949482304567556,2020,
7,Non-Multi-Racial,0.1912654833783993,5.272551825131208,9.684408975059617,4.854955519755035,0.012751032225226618,0.092444983632893,0.32515132174327877,1.8744017371083128,0.022314306394146586,8.562318139239675,14.067576302481267,1.3643604480992482,2020,
8,"American Indian, Alaska Native, or Indigenous",0.21653985082483057,8.661594032993223,12.559311347840174,3.464637613197289,0.0,0.0,1.082699254124153,2.165398508248306,0.21653985082483057,14.72470985608848,11.909691795365681,1.9488586574234752,2020,
9,"Non-American Indian, Alaska Native, or Indigenous",0.18140153831775874,5.079243072897244,9.33756731984802,4.931662160367542,0.012298409377475167,0.09223807033106375,0.3166840414699856,1.8509106113100127,0.01844761406621275,8.381365990749327,13.558996338666372,1.312855201045474,2020,
10,Asian or Asian American,0.023500448926725804,0.8930170592155804,1.410026935603548,1.3395255888233706,0.0,0.0,0.18800359141380643,0.18800359141380643,0.0,1.5040287313104514,1.3395255888233706,0.11750224463362902,2020,
11,Non-Asian or Asian American,0.20535237288324923,5.756827538116852,10.563465283062058,5.440097607059636,0.01392219477174571,0.10441646078809283,0.34805486929364277,2.102251410533602,0.024363840850554992,9.501897931716448,15.342258638463772,1.5001164866556005,2020,
12,Non-White,2.3751182062912526,4.427984193638466,16.494539502987493,4.607013204162931,,0.01193526736829775,0.47741069473191006,5.502158256785263,0.05967633684148876,10.264329936736067,17.067432336665785,0.9786919242004155,2021,0.095482138946382
13,White,1.7514764877708147,3.372912957888112,9.330371266639887,2.9462191499625074,,0.04470125606839666,0.1706775231702418,1.4710776997054176,0.04470125606839666,5.70144202399641,11.557306568956374,0.8858976202645885,2021,0.06502000882675878
14,"Black, African American, or African",5.954845897682841,14.887114744207103,45.74404348674547,11.530747056422229,,0.05413496270620764,1.1909691795365682,14.183360229026404,0.21653985082483057,25.714107285448634,41.41324647024885,3.248097762372459,2021,0.16240488811862294
15,"Non-Black, African American, or African",1.6699259682253889,2.9737527818782885,9.097885130735627,2.883833691281537,,0.03532535702015245,0.19268376556446792,1.801593208027775,0.03853675311289358,5.741976213821144,11.268788889428633,0.7707350622578717,2021,0.06743931794756378
16,Native Hawaiian or Pacific Islander,5.052596519246047,6.063115823095257,30.315579115476286,6.568375475019862,,0.0,0.0,17.684087817361167,0.5052596519246048,15.663049209662747,22.736684336607215,1.5157789557738142,2021,0.0
17,Non-Native Hawaiian or Pacific Islander,1.8909113733999292,3.6262800370524446,11.03438282090475,3.348743045150197,,0.03659828464645024,0.25008827841741,2.4032873584502323,0.0457478558080628,6.8072809442397455,12.897845480819841,0.9058075449996436,2021,0.07319656929290048
18,Multi-Racial,1.6085817489844558,0.9280279321064167,5.877510236673973,2.0416614506341166,,0.0,0.4949482304567556,1.7323188065986446,0.0,7.114880812815862,6.619932582359107,0.3712111728425667,2021,0.0
19,Non-Multi-Racial,1.9254058660092195,3.7806810547796927,11.421737115746744,3.436403184698574,,0.03825309667567986,0.23589409616669246,2.5342676547637906,0.05100412890090647,6.847304304946695,13.28338782062983,0.9372008685541564,2021,0.07650619335135972
