,Binary Race Variable,Coordinated Entry,Day Shelter,Emergency Shelter,Homelessness Prevention,Other,PH - Housing with Services (no disability required for entry),PH - Permanent Supportive Housing (disability required for entry),PH - Rapid Re-Housing,Safe Haven,Services Only,Street Outreach,Transitional Housing,Year,PH - Housing Only
0,White,0.7347255538309581,0.6649214659685864,0.6416176738817027,0.3758573865812472,1.0214477211796247,0.5107238605898122,0.47667560321715813,0.4172459176212527,2.0428954423592494,0.5461048549705294,0.4304376553246796,0.6693841075304116,2020,
1,"Black, African American, or African",5.1304347826086945,5.548423297048592,4.028708681230698,5.526932084309133,5.619047619047618,1.204081632653061,4.312292358803986,6.9686572088419645,0.0,4.416053684346366,2.7641144048860418,5.482414242292661,2020,
2,Native Hawaiian or Pacific Islander,2.8079096045197742,2.383693045563549,2.0593174135863044,2.4912280701754383,0.0,0.0,3.125786163522012,2.472636815920398,0.0,1.7375527426160338,1.1958793894277766,3.8888888888888893,2020,
3,Multi-Racial,0.0,0.4458949238703944,0.36414262874339987,1.2361075750063648,0.0,0.6692470091484868,1.141656662665066,0.7921699291961682,0.0,0.7803729086571336,0.22869351683569414,0.3627694068281518,2020,
4,"American Indian, Alaska Native, or Indigenous",1.193704600484261,1.7052922864060875,1.3450303400912553,0.7025293908086925,0.0,0.0,3.41886269070735,1.169909824394874,11.738095238095235,1.7568389057750757,0.8783608681567863,1.484442957510873,2020,
5,Asian or Asian American,0.11443962685586652,0.15512312177197862,0.13348147580552466,0.24623190346530968,0.0,0.0,0.54015503875969,0.08942964217875662,0.0,0.15828719084533038,0.08730954290296712,0.07832874691990863,2020,
6,White,0.7374270817896451,0.7617265126496751,0.5656642469436609,0.6395074247454472,,3.7453083109919567,0.3575067024128685,0.2673637563752886,0.7490616621983912,0.5554616871376019,0.6771555522225762,0.9051853789315373,2021,0.680965147453083
7,"Black, African American, or African",3.565934065934065,5.006170934896636,5.027986485805053,3.9984091632198524,,1.5324675324675323,6.18095238095238,7.872676343264578,5.619047619047618,4.478267817193991,3.6750396938484706,4.2142857142857135,2021,2.408163265306122
8,Native Hawaiian or Pacific Islander,2.672043010752688,1.6719932716568546,2.747374239911553,1.9614450516089863,,0.0,0.0,7.358291032148902,11.044444444444446,2.3009259259259256,1.762828091747458,1.6734006734006732,2021,0.0
9,Multi-Racial,0.835450736586025,0.2454658085831296,0.5145898716729225,0.5941274468971259,,0.0,2.0981798124655264,0.6835579514824797,0.0,1.0390776422300763,0.4983617637119642,0.3960849645980841,2021,0.0
10,"American Indian, Alaska Native, or Indigenous",1.251557812139395,2.114065180102916,2.049404428811256,0.6396782146100947,,0.0,2.6745027124773957,0.6041666666666665,0.0,1.4937467766890147,1.7911296956402523,0.9517374517374515,2021,3.062111801242235
11,Asian or Asian American,0.22137501588511882,0.14353609660918631,0.12527827332075334,0.12377521511450275,,0.0,0.34625322997416025,0.18544648646556147,0.0,0.18389300003166928,0.14029582150732334,0.13779465274481886,2021,0.29356252106504893
12,White,0.43640532926879044,0.7121884402402331,0.5972278297543561,0.4791014332589757,,0.17024128686327075,0.3779356568364611,0.2768045351288295,0.5107238605898122,0.5274981592954175,0.5999657067219631,1.160016210486938,2022,1.2257372654155494
13,"Black, African American, or African",6.386064855390007,4.763975155279502,4.817544620276031,5.138522167487684,,8.428571428571427,9.105318039624606,14.178294573643408,1.204081632653061,4.275110456553755,3.6097139854365277,3.2336028751123083,2022,3.5488721804511267
14,Native Hawaiian or Pacific Islander,2.811085972850679,3.098800959232614,3.120774883099532,1.949019607843137,,0.0,4.0210355987055015,0.7004933051444678,11.833333333333336,1.7902466057079525,2.5112038664323375,2.2147950089126556,2022,0.0
15,Multi-Racial,1.0947025108515789,0.27805391497573234,0.6632570033709171,0.7456484240238355,,0.0,0.47107192391519703,0.808673469387755,1.3862973760932942,0.9632882069530443,0.6019042155014614,0.15485236647850628,2022,0.0
16,"American Indian, Alaska Native, or Indigenous",2.1807011795543905,2.8999999999999995,2.4068348250610243,1.4435198027431038,,0.0,1.0157967032967032,0.9771306601616099,10.835164835164834,2.6129150167529698,2.167999745068672,1.3252688172043008,2022,3.2012987012987004
17,Asian or Asian American,0.16149282195264078,0.17613751263902933,0.13823718876326868,0.39273017359485285,,0.0,0.19761769710720362,0.10831986071384156,0.4822812846068661,0.19128111837684578,0.14629447766540354,0.14559435006999727,2022,0.0
