,Binary Race Variable,Coordinated Entry,Day Shelter,Emergency Shelter,Homelessness Prevention,PH - Housing Only,PH - Housing with Services (no disability required for entry),PH - Permanent Supportive Housing (disability required for entry),PH - Rapid Re-Housing,Safe Haven,Services Only,Street Outreach,Transitional Housing,Year
0,White,0.485285507380358,0.11349419124218049,0.5261665128407975,0.4083003851372851,0.0,0.41905547535574333,0.5901697944593386,0.38433633503140713,0.9079535299374439,0.43814873195871906,0.5107238605898122,0.5135331227492723,2020
1,"Black, African American, or African",7.1756756756756745,16.857142857142854,6.850759144237405,6.896103896103896,,7.5857142857142845,5.803278688524589,9.466484683045191,4.95798319327731,7.492063492063491,7.075837742504408,7.044776119402984,2020
2,Native Hawaiian or Pacific Islander,2.389423076923077,55.22222222222222,2.307937890001451,2.1866750471401635,0.0,12.271604938271606,2.045267489711934,1.248173515981735,0.0,1.6816007467040017,0.7234352256186317,1.7624113475177303,2020
3,Multi-Racial,1.0674489795918365,0.0,0.7801405510842121,0.9338127969002945,0.0,1.4376417233560088,1.2602703419029948,1.1754042640848696,0.0,0.9894912079908437,1.0683392623104284,0.8253128411858568,2020
4,"American Indian, Alaska Native, or Indigenous",1.709431345353675,0.0,1.7034175147631607,0.9744833782569631,0.0,0.0,1.7607142857142855,1.1681311086977983,0.0,1.317583581261661,1.1409636019356195,0.5604395604395604,2020
5,Asian or Asian American,0.09738372093023255,0.0,0.09108358464724972,0.19389738947180957,0.0,0.0,0.041422932420221624,0.15975357792127223,0.3215208564045774,0.10212217141517176,0.10938338413763973,0.1175036061558897,2020
6,White,0.477036538807681,,0.5373573535283716,0.4413662992751464,2.383378016085791,0.4256032171581769,0.5067647608953176,0.36138175983763354,3.404825737265415,0.5025707753719145,0.516260162601626,0.6463142660561342,2021
7,"Black, African American, or African",6.88260547742413,,6.0641206977840625,5.379939209726444,2.408163265306122,8.428571428571427,6.267399267399267,9.397653554175292,0.0,6.631651534306401,5.728509585652443,5.539263981454649,2021
8,Native Hawaiian or Pacific Islander,1.7244114002478315,,2.035217035217035,2.104658197217181,0.0,0.0,4.778846153846153,1.9759363883657672,0.0,1.544677544677545,1.0775067750677507,0.7622699386503067,2021
9,Multi-Racial,1.0539731796520004,,0.8045851303109716,1.0639635816519424,0.0,0.4410946196660482,1.1529601939785812,1.3247454051202985,0.0,1.051324729526625,0.9195068890500361,0.8022452224132895,2021
10,"American Indian, Alaska Native, or Indigenous",1.4276061776061773,,1.5371315192743762,0.6367863601136656,0.0,1.6006493506493502,1.800091282519397,1.380952380952381,0.0,1.2624574954871748,2.1093415735678627,1.6506696428571428,2021
11,Asian or Asian American,0.19422683074250774,,0.14394314989257972,0.15260947185482993,0.0,0.31404362718586626,0.15052091048239763,0.1236931153192594,0.0,0.12911914356935808,0.21381136950904395,0.136721485667367,2021
12,White,0.45522566941155207,,0.6049896971174085,0.5882594961909059,0.5881062637094808,0.4642944187180112,0.3959960368341298,0.38297014275566543,1.1916890080428955,0.4926085774201675,0.5969794459338693,0.5877982740453229,2022
13,"Black, African American, or African",6.910729104919975,0.0,5.1304347826086945,4.693404043752071,5.1304347826086945,5.057142857142857,8.947252747252746,8.947572132301195,3.371428571428571,6.798205363515855,5.3856686444545865,6.411658870097156,2022
14,Native Hawaiian or Pacific Islander,3.078936850519584,0.0,3.3193685488767457,1.2114564290067031,8.719298245614034,0.0,1.681895093062606,3.123224043715847,0.0,2.6975962781080383,2.2359918200408995,2.766233766233766,2022
15,Multi-Racial,1.1880074953154274,0.0,0.9322698511719097,0.7880557322078972,0.6692470091484868,0.7763265306122448,1.2454436319982536,1.1231958315240986,1.141656662665066,0.9745552066980636,0.7061941464164083,0.36074652909490923,2022
16,"American Indian, Alaska Native, or Indigenous",2.311940946591402,0.0,2.071428571428571,0.9718754106978578,2.428571428571428,5.869047619047618,1.815169366715758,1.3277517564402808,0.0,1.6498103666245258,2.471177944862155,2.118152524167561,2022
17,Asian or Asian American,0.1008353940336936,0.0,0.10199302091383872,0.18895348837209303,0.11443962685586652,0.0,0.10334598955861415,0.14424846967699198,0.0,0.10994367873436439,0.09953716930461116,0.07474470093538144,2022
